event_date,source,medium,campaign,user_sessions_count,visit_to_cart,visit_to_checkout,visit_to_purchase
2020-11-01,google,organic,(organic),824,0.0,0.026699029126213591,0.0024271844660194173
2020-11-01,shop.googlemerchandisestore.com,referral,(referral),213,0.0046948356807511738,0.075117370892018781,0.0093896713615023476
2020-11-01,(direct),(none),(direct),611,0.0,0.037643207855973811,0.0081833060556464818
2020-11-01,<Other>,referral,(referral),255,0.0,0.031372549019607843,0.00784313725490196
2020-11-01,<Other>,organic,(organic),88,0.0,0.034090909090909088,0.0
2020-11-01,(data deleted),(data deleted),(data deleted),122,0.0,0.049180327868852458,0.00819672131147541
2020-11-01,<Other>,<Other>,<Other>,370,0.0,0.035135135135135137,0.0027027027027027029
2020-11-01,google,cpc,<Other>,108,0.0,0.037037037037037035,0.0
2020-11-01,(data deleted),(data deleted),<Other>,1,0.0,0.0,0.0
2020-11-01,<Other>,(data deleted),(data deleted),3,0.0,0.0,0.0
2020-11-02,google,organic,(organic),1099,0.0,0.045495905368516831,0.00818926296633303
2020-11-02,(data deleted),(data deleted),(data deleted),254,0.0,0.05905511811023622,0.027559055118110236
2020-11-02,shop.googlemerchandisestore.com,referral,(referral),321,0.0,0.040498442367601244,0.021806853582554516
2020-11-02,(direct),(none),(direct),821,0.0,0.023142509135200974,0.0085261875761266752
2020-11-02,<Other>,referral,(referral),360,0.0,0.030555555555555555,0.011111111111111112
2020-11-02,<Other>,organic,(organic),109,0.0,0.027522935779816515,0.0091743119266055051
2020-11-02,<Other>,<Other>,<Other>,530,0.0,0.024528301886792454,0.0056603773584905656
2020-11-02,google,cpc,<Other>,175,0.0,0.034285714285714287,0.011428571428571429
2020-11-02,<Other>,(data deleted),(data deleted),7,0.0,0.0,0.0
2020-11-02,(data deleted),(data deleted),<Other>,7,0.0,0.0,0.0
2020-11-03,(direct),(none),(direct),1234,0.0,0.028363047001620744,0.0097244732576985422
2020-11-03,(data deleted),(data deleted),(data deleted),323,0.0,0.043343653250773995,0.034055727554179564
2020-11-03,google,organic,(organic),1684,0.0,0.026722090261282659,0.0041567695961995249
2020-11-03,<Other>,<Other>,<Other>,740,0.0,0.01891891891891892,0.0067567567567567571
