"ad_date","platform","avg_daily_spend","min_daily_spend","max_daily_spend"
2020-11-11,Facebook,189.00,189.00,189.00
2020-11-12,Facebook,1150.00,34.00,2266.00
2020-11-12,Google,199.00,66.00,332.00
2020-11-13,Facebook,318.00,14.00,622.00
2020-11-13,Google,1054.00,1054.00,1054.00
2020-11-14,Facebook,727.00,727.00,727.00
2020-11-14,Google,1.00,1.00,1.00
2020-11-15,Facebook,698.00,698.00,698.00
2020-11-15,Google,682.00,682.00,682.00
2020-11-16,Facebook,4167.00,4167.00,4167.00
2020-11-16,Google,2760.00,2760.00,2760.00
2020-11-17,Facebook,1261.00,1261.00,1261.00
2020-11-18,Facebook,3330.00,3330.00,3330.00
2020-11-18,Google,372.00,372.00,372.00
2020-11-19,Facebook,1083.00,1083.00,1083.00
2020-11-20,Facebook,1684.00,1684.00,1684.00
2020-11-20,Google,2433.00,2433.00,2433.00
2020-11-21,Facebook,1819.00,1819.00,1819.00
2020-11-21,Google,2137.00,2137.00,2137.00
2020-11-22,Facebook,3646.00,3646.00,3646.00
2020-11-23,Facebook,1456.00,1456.00,1456.00
2020-11-23,Google,2762.00,2762.00,2762.00
2020-11-24,Facebook,3700.00,3700.00,3700.00
2020-11-24,Google,2402.00,2402.00,2402.00
2020-11-25,Facebook,3995.00,3995.00,3995.00
2020-11-25,Google,398.00,398.00,398.00
2020-11-26,Facebook,1423.00,1423.00,1423.00
2020-11-27,Facebook,771.00,771.00,771.00
2020-11-27,Google,1827.00,1827.00,1827.00
2020-11-28,Facebook,854.00,854.00,854.00
2020-11-28,Google,422.00,422.00,422.00
2020-11-29,Facebook,1366.00,1366.00,1366.00
2020-11-29,Google,618.00,618.00,618.00
2020-11-30,Facebook,3984.00,3984.00,3984.00
2020-12-01,Facebook,879.00,879.00,879.00
2020-12-02,Facebook,2227.00,2227.00,2227.00
2020-12-03,Facebook,4056.00,4056.00,4056.00
2020-12-03,Google,3214.00,3214.00,3214.00
2020-12-04,Facebook,2730.00,2730.00,2730.00
2020-12-04,Google,616.00,616.00,616.00
2020-12-05,Facebook,2812.00,2812.00,2812.00
2020-12-05,Google,1622.00,1622.00,1622.00
2020-12-06,Facebook,4271.00,4271.00,4271.00
2020-12-06,Google,2225.00,2225.00,2225.00
2020-12-07,Facebook,3729.00,3729.00,3729.00
2020-12-08,Facebook,3716.00,3716.00,3716.00
2020-12-08,Google,936.00,936.00,936.00
2020-12-09,Facebook,2565.00,2565.00,2565.00
2020-12-09,Google,2493.00,2493.00,2493.00
2020-12-10,Facebook,2552.00,2552.00,2552.00
2020-12-10,Google,678.00,678.00,678.00
2020-12-11,Google,2839.00,2839.00,2839.00
2020-12-12,Facebook,3633.00,3633.00,3633.00
2020-12-12,Google,1693.00,1693.00,1693.00
2020-12-13,Facebook,2503.00,2503.00,2503.00
2020-12-13,Google,2284.00,2284.00,2284.00
2020-12-14,Facebook,1598.00,1598.00,1598.00
2020-12-15,Facebook,3150.00,3150.00,3150.00
2020-12-15,Google,2069.00,2069.00,2069.00
2020-12-16,Facebook,3203.00,3203.00,3203.00
2020-12-16,Google,2226.00,2226.00,2226.00
2020-12-17,Facebook,2739.00,2739.00,2739.00
2020-12-17,Google,1002.00,1002.00,1002.00
